Option No.,Districts
1,Balod
2,Baloda Bazar
3,Balrampur
4,Bastar
5,Bemetara
6,Bijapur
7,Bilaspur
8,Dantewada
9,Dhamtari
10,Durg
11,Gariyaband
12,Janjgir-Champa
13,Jashpur
14,Kabirdham
15,Kanker
16,Kondagaon
17,Korba
18,Korea
19,Mahasamund
20,Mungeli
21,Narayanpur
22,Raigarh
23,Raipur
24,Rajnandgaon
25,Sukma
26,Surajpur
27,Surguja
