Option No.,Districts
1,Central Delhi
2,East Delhi
3,New Delhi
4,North Delhi
5,North East Delhi
6,North West Delhi
7,Shahdara
8,South Delhi
9,South East Delhi
10,South West Delhi
11,West Delhi
