Option No.,Districts
1,Angul
2,Balangir
3,Balasore
4,Bargarh
5,Bhadrak
6,Boudh
7,Cuttack
8,Deogarh
9,Dhenkanal
10,Gajapati
11,Ganjam
12,Jagatsinghapur
13,Jajpur
14,Jharsuguda
15,Kalahandi
16,Kandhamal
17,Kendrapara
18,Kendujhar
19,Khordha
20,Koraput
21,Malkangiri
22,Mayurbhanj
23,Nabarangpur
24,Nayagarh
25,Nuapada
26,Puri
27,Rayagada
28,Sambalpur
29,Sonepur
30,Sundargarh
