Option No.,Districts
1,Anantapur
2,Chittoor
3,East Godavari
4,Guntur
5,Krishna
6,Kurnool
7,Nellore
8,Prakasam
9,Srikakulam
10,Vishakhapatnam
11,Vizianagaram
12,West Godavari
13,YSR Kadapa District
