Option No.,Districts
1,Baksa
2,Barpeta
3,Biswanath
4,Bongaigaon
5,Cachar
6,Charaideo
7,Chirang
8,Darrang
9,Dhemaji
10,Dhubri
11,Dibrugarh
12,Dima Hasao
13,Goalpara
14,Golaghat
15,Hailakandi
16,Hojai
17,Jorhat
18,Kamrup
19,Kamrup Metropolitan
20,Karbi Anglong
21,Karimganj
22,Kokrajhar
23,Lakhimpur
24,Majuli
25,Morigaon
26,Nagaon
27,Nalbari
28,Sivasagar
29,Sonitpur
30,South Salmara-Mankachar
31,Tinsukia
32,Udalguri
33,West Karbi Anglong
