Option No.,Districts
1,East Garo Hills
2,East Jaintia Hills
3,East Khasi
4,North Garo Hills
5,Ri Bhoi
6,South Garo Hills
7,South West Garo Hills
8,South West Khasi Hills
9,West Garo Hills
10,West Jaintia Hills
11,West Khasi Hills
