Option No.,Districts
1,Bishnupur
2,Chandel
3,Churachandpur
4,Imphal East
5,Imphal West
6,Jiribam
7,Kakching
8,Kamjong
9,Kangpokpi
10,Noney
11,Pherzawl
12,Senapati
13,Tamenglong
14,Tengnoupal
15,Thoubal
16,Ukhrul
