Option No.,Districts
1,Ahmedabad
2,Amreli
3,Anand
4,Aravalli
5,Banaskantha
6,Bharuch
7,Bhavnagar
8,Botad
9,Chhota Udepur
10,Dahod
11,Dangs
12,Devbhoomi Dwarka
13,Gandhinagar
14,Gir Somnath
15,Jamnagar
16,Junagadh
17,Kachchh
18,Kheda
19,Mahisagar
20,Mehsana
21,Morbi
22,Narmada
23,Navsari
24,Panchmahal
25,Patan
26,Porbandar
27,Rajkot
28,Sabarkantha
29,Surat
30,Surendranagar
31,Tapi
32,Vadodara
33,Valsad
