Option No.,Districts
1,Bagalkot
2,Ballari
3,Belagavi
4,Bengaluru Rural
5,Bengaluru Urban
6,Bidar
7,Chamarajanagar
8,Chikballapur
9,Chikkamagaluru
10,Chitradurga
11,Dakshina Kannada
12,Davangere
13,Dharwad
14,Gadag
15,Hassan
16,Haveri
17,Kalaburagi
18,Kodagu
19,Kolar
20,Koppal
21,Mandya
22,Mysore
23,Raichur
24,Ramanagara
25,Shivamogga
26,Tumakuru
27,Udupi
28,Uttara Kannada
29,Vijayapura
30,Yadgir
