Option No.,Districts
1,Amritsar
2,Barnala
3,Bathinda
4,Faridkot
5,Fatehgarh Sahib
6,Fazilka
7,Ferozepur
8,Gurdaspur
9,Hoshiarpur
10,Jalandhar
11,Kapurthala
12,Ludhiana
13,Mansa
14,Moga
15,Muktsar
16,Nawanshahr
17,Pathankot
18,Patiala
19,Rupnagar
20,Mohali
21,Sangrur
22,Tarn Taran
