Option No.,Districts
1,Ambala
2,Bhiwani
3,Charkhi Dadri
4,Faridabad
5,Fatehabad
6,Gurugram
7,Hisar
8,Jhajjar
9,Jind
10,Kaithal
11,Karnal
12,Kurukshetra
13,Mahendrangarh
14,Nuh
15,Palwal
16,Panchkula
17,Panipat
18,Rewari
19,Rohtak
20,Sirsa
21,Sonipat
22,Yamunanagar
