Option No.,Districts
1,Alipurduar
2,Bankura
3,Birbhum
4,Cooch Behar
5,Dakshin Dinajpur (South Dinajpur)
6,Darjeeling
7,Hooghly
8,Howrah
9,Jalpaiguri
10,Jhargram
11,Kalimpong
12,Kolkata
13,Malda
14,Murshidabad
15,Nadia
16,North 24 Parganas
17,Paschim Medinipur (West Medinipur)
18,Paschim (West) Burdwan (Bardhaman)
19,Purba Burdwan (Bardhaman)
20,Purba Medinipur (East Medinipur)
21,Purulia
22,South 24 Parganas
23,Uttar Dinajpur (North Dinajpur)
