Option No.,Districts
1,Anantnag
2,Bandipore
3,Baramulla
4,Budgam
5,Doda
6,Ganderbal
7,Jammu
8,Kargil
9,Kathua
10,Kishtwar
11,Kulgam
12,Kupwara
13,Leh
14,Poonch
15,Pulwama
16,Rajouri
17,Ramban
18,Reasi
19,Samba
20,Shopian
21,Srinagar
22,Udhampur
