Option No.,Districts
1,Anjaw
2,Changlang
3,Dibang Valley
4,East Kameng
5,East Siang
6,Itanagar
7,Kamle
8,Kra Daadi
9,Kurung Kumey
10,Lepa Rada
11,Lohit
12,Longding
13,Lower Dibang Valley
14,Lower Subansiri
15,Namsai
16,Pakke-Kessang
17,Papumpare
18,Shi-Yomi
19,Siang
20,Tawang
21,Tirap
22,Upper Siang
23,Upper Subansiri
24,West Kameng
25,West Siang
