Option No.,Districts
1,Ajmer
2,Alwar
3,Banswara
4,Baran
5,Barmer
6,Bharatpur
7,Bhilwara
8,Bikaner
9,Bundi
10,Chittorgarh
11,Churu
12,Dausa
13,Dholpur
14,Dungarpur
15,Hanumangarh
16,Jaipur
17,Jaisalmer
18,Jalore
19,Jhalawar
20,Jhunjhunu
21,Jodhpur
22,Karauli
23,Kota
24,Nagaur
25,Pali
26,Pratapgarh
27,Rajsamand
28,Sawai Madhopur
29,Sikar
30,Sirohi
31,Sri Ganganagar
32,Tonk
33,Udaipur
