Option No.,Districts
1,Almora
2,Bageshwar
3,Chamoli
4,Champawat
5,Dehradun
6,Haridwar
7,Nainital
8,Pauri Garhwal
9,Pithoragarh
10,Rudraprayag
11,Tehri Garhwal
12,Udham Singh Nagar
13,Uttarkashi
