Option No.,Districts
1,Bilaspur
2,Chamba
3,Hamirpur
4,Kangra
5,Kinnaur
6,Kullu
7,Lahaul & Spiti
8,Mandi
9,Shimla
10,Sirmaur
11,Solan
12,Una
